"uid","date","time","suspects","refuses","confirmado","deads","local","cases","comments","broadcast","deaths","uf",,
31,"2020-02-12","16:00",1,1,0,0,0,0,0,0,0,"MG",,
33,"2020-02-12","16:00",2,3,0,0,0,0,0,0,0,"RJ",,
35,"2020-02-12","16:00",6,14,0,0,0,0,0,0,0,"SP",,
41,"2020-02-12","16:00",1,2,0,0,0,0,0,0,0,"PR",,
42,"2020-02-12","16:00",0,4,0,0,0,0,0,0,0,"SC",,
43,"2020-02-12","16:00",1,8,0,0,0,0,0,0,0,"RS",,
23,"2020-02-11","16:00",0,1,0,0,0,0,0,0,0,"CE",,
31,"2020-02-11","16:00",1,1,0,0,0,0,0,0,0,"MG",,
33,"2020-02-11","16:00",2,3,0,0,0,0,0,0,0,"RJ",,
35,"2020-02-11","16:00",3,14,0,0,0,0,0,0,0,"SP",,
41,"2020-02-11","16:00",1,2,0,0,0,0,0,0,0,"PR",,
42,"2020-02-11","16:00",0,4,0,0,0,0,0,0,0,"SC",,
43,"2020-02-11","16:00",1,8,0,0,0,0,0,0,0,"RS",,
23,"2020-02-10","15:30",0,1,0,0,0,0,0,0,0,"CE",,
31,"2020-02-10","15:30",1,1,0,0,0,0,0,0,0,"MG",,
33,"2020-02-10","15:30",1,3,0,0,0,0,0,0,0,"RJ",,
35,"2020-02-10","15:30",3,13,0,0,0,0,0,0,0,"SP",,
41,"2020-02-10","15:30",1,2,0,0,0,0,0,0,0,"PR",,
42,"2020-02-10","15:30",0,4,0,0,0,0,0,0,0,"SC",,
43,"2020-02-10","15:30",1,8,0,0,0,0,0,0,0,"RS",,
23,"2020-02-09","13:30",0,1,0,0,0,0,0,0,0,"CE",,
31,"2020-02-09","13:30",1,1,0,0,0,0,0,0,0,"MG",,
33,"2020-02-09","13:30",2,2,0,0,0,0,0,0,0,"RJ",,
35,"2020-02-09","13:30",3,13,0,0,0,0,0,0,0,"SP",,
41,"2020-02-09","13:30",1,2,0,0,0,0,0,0,0,"PR",,
42,"2020-02-09","13:30",1,3,0,0,0,0,0,0,0,"SC",,
43,"2020-02-09","13:30",3,6,0,0,0,0,0,0,0,"RS",,
23,"2020-02-08","13:30",0,1,0,0,0,0,0,0,0,"CE",,
31,"2020-02-08","13:30",1,1,0,0,0,0,0,0,0,"MG",,
33,"2020-02-08","13:30",1,2,0,0,0,0,0,0,0,"RJ",,
35,"2020-02-08","13:30",2,13,0,0,0,0,0,0,0,"SP",,
41,"2020-02-08","13:30",0,2,0,0,0,0,0,0,0,"PR",,
42,"2020-02-08","13:30",1,3,0,0,0,0,0,0,0,"SC",,
43,"2020-02-08","13:30",3,6,0,0,0,0,0,0,0,"RS",,
23,"2020-02-07","15:30",0,1,0,0,0,0,0,0,0,"CE",,
31,"2020-02-07","15:30",1,1,0,0,0,0,0,0,0,"MG",,
33,"2020-02-07","15:30",1,2,0,0,0,0,0,0,0,"RJ",,
35,"2020-02-07","15:30",3,11,0,0,0,0,0,0,0,"SP",,
41,"2020-02-07","15:30",0,2,0,0,0,0,0,0,0,"PR",,
42,"2020-02-07","15:30",1,3,0,0,0,0,0,0,0,"SC",,
43,"2020-02-07","15:30",2,6,0,0,0,0,0,0,0,"RS",,
23,"2020-02-06","15:30",0,1,0,0,0,0,0,0,0,"CE",,
23,"2020-02-06","15:30",0,1,0,0,0,0,0,0,0,"CE",,
31,"2020-02-06","15:30",1,1,0,0,0,0,0,0,0,"MG",,
31,"2020-02-06","15:30",1,1,0,0,0,0,0,0,0,"MG",,
33,"2020-02-06","15:30",1,2,0,0,0,0,0,0,0,"RJ",,
33,"2020-02-06","15:30",1,2,0,0,0,0,0,0,0,"RJ",,
35,"2020-02-06","15:30",3,10,0,0,0,0,0,0,0,"SP",,
35,"2020-02-06","15:30",3,10,0,0,0,0,0,0,0,"SP",,
41,"2020-02-06","15:30",0,2,0,0,0,0,0,0,0,"PR",,
41,"2020-02-06","15:30",0,2,0,0,0,0,0,0,0,"PR",,
42,"2020-02-06","15:30",1,3,0,0,0,0,0,0,0,"SC",,
42,"2020-02-06","15:30",1,3,0,0,0,0,0,0,0,"SC",,
43,"2020-02-06","15:30",3,5,0,0,0,0,0,0,0,"RS",,
43,"2020-02-06","15:30",3,5,0,0,0,0,0,0,0,"RS",,
23,"2020-02-05","12:00",0,1,0,0,0,0,0,0,0,"CE",,
31,"2020-02-05","12:00",0,1,0,0,0,0,0,0,0,"MG",,
33,"2020-02-05","12:00",1,2,0,0,0,0,0,0,0,"RJ",,
35,"2020-02-05","12:00",4,9,0,0,0,0,0,0,0,"SP",,
41,"2020-02-05","12:00",0,2,0,0,0,0,0,0,0,"PR",,
42,"2020-02-05","12:00",1,3,0,0,0,0,0,0,0,"SC",,
43,"2020-02-05","12:00",5,3,0,0,0,0,0,0,0,"RS",,
23,"2020-02-04","15:00",0,1,0,0,0,0,0,0,0,"CE",,
31,"2020-02-04","15:00",0,1,0,0,0,0,0,0,0,"MG",,
33,"2020-02-04","15:00",1,2,0,0,0,0,0,0,0,"RJ",,
35,"2020-02-04","15:00",6,5,0,0,0,0,0,0,0,"SP",,
41,"2020-02-04","15:00",0,2,0,0,0,0,0,0,0,"PR",,
42,"2020-02-04","15:00",2,2,0,0,0,0,0,0,0,"SC",,
43,"2020-02-04","15:00",4,3,0,0,0,0,0,0,0,"RS",,
23,"2020-02-03","16:00",0,1,0,0,0,0,0,0,0,"CE",,
31,"2020-02-03","16:00",0,1,0,0,0,0,0,0,0,"MG",,
33,"2020-02-03","16:00",1,1,0,0,0,0,0,0,0,"RJ",,
35,"2020-02-03","16:00",7,3,0,0,0,0,0,0,0,"SP",,
41,"2020-02-03","16:00",0,2,0,0,0,0,0,0,0,"PR",,
42,"2020-02-03","16:00",2,2,0,0,0,0,0,0,0,"SC",,
43,"2020-02-03","16:00",4,3,0,0,0,0,0,0,0,"RS",,
23,"2020-02-02","12:00",1,0,0,0,0,0,0,0,0,"CE",,
31,"2020-02-02","12:00",0,1,0,0,0,0,0,0,0,"MG",,
33,"2020-02-02","12:00",0,1,0,0,0,0,0,0,0,"RJ",,
35,"2020-02-02","12:00",8,2,0,0,0,0,0,0,0,"SP",,
41,"2020-02-02","12:00",1,1,0,0,0,0,0,0,0,"PR",,
42,"2020-02-02","12:00",2,2,0,0,0,0,0,0,0,"SC",,
43,"2020-02-02","12:00",4,3,0,0,0,0,0,0,0,"RS",,
23,"2020-02-01","12:00",1,0,0,0,0,0,0,0,0,"CE",,
31,"2020-02-01","12:00",0,1,0,0,0,0,0,0,0,"MG",,
33,"2020-02-01","12:00",0,1,0,0,0,0,0,0,0,"RJ",,
35,"2020-02-01","12:00",8,2,0,0,0,0,0,0,0,"SP",,
41,"2020-02-01","12:00",1,1,0,0,0,0,0,0,0,"PR",,
42,"2020-02-01","12:00",2,2,0,0,0,0,0,0,0,"SC",,
43,"2020-02-01","12:00",4,3,0,0,0,0,0,0,0,"RS",,
23,"2020-01-31","12:00",1,0,0,0,0,0,0,0,0,"CE",,
31,"2020-01-31","12:00",1,0,0,0,0,0,0,0,0,"MG",,
33,"2020-01-31","12:00",0,1,0,0,0,0,0,0,0,"RJ",,
35,"2020-01-31","12:00",7,2,0,0,0,0,0,0,0,"SP",,
41,"2020-01-31","12:00",1,1,0,0,0,0,0,0,0,"PR",,
42,"2020-01-31","12:00",1,2,0,0,0,0,0,0,0,"SC",,
43,"2020-01-31","12:00",2,3,0,0,0,0,0,0,0,"RS",,
23,"2020-01-30","16:00",1,0,0,0,0,0,0,0,0,"CE",,
31,"2020-01-30","16:00",1,0,0,0,0,0,0,0,0,"MG",,
33,"2020-01-30","16:00",1,0,0,0,0,0,0,0,0,"RJ",,
35,"2020-01-30","16:00",3,1,0,0,0,0,0,0,0,"SP",,
41,"2020-01-30","16:00",1,1,0,0,0,0,0,0,0,"PR",,
42,"2020-01-30","16:00",0,2,0,0,0,0,0,0,0,"SC",,
43,"2020-01-30","16:00",2,2,0,0,0,0,0,0,0,"RS",,
